域名,可达性,直接查询ip地址,无污染ip地址
washingtonexaminer.com,unreachable,34.235.255.68,34.235.255.68
motorola.com,unreachable,"144.188.129.101, 144.188.128.101","144.188.128.101, 144.188.129.101"
proquest.com,unreachable,52.44.42.61,
wolfram.com,unreachable,140.177.205.134,
theintercept.com,unreachable,69.171.237.16,"104.19.232.22, 104.19.233.22"
canon.com,unreachable,"54.92.111.239, 13.115.17.76, 52.197.109.31, 13.230.249.17","13.115.17.76, 13.230.249.17, 52.197.109.31, 54.92.111.239"
torproject.org,unreachable,69.63.189.16,"95.216.163.36, 116.202.120.165"
china.org.cn,unreachable,202.130.245.42,
thinkgeek.com,unreachable,"52.22.227.145, 52.72.224.110","52.22.227.145, 52.72.224.110"
nationalreview.com,unreachable,31.13.76.8,23.185.0.3
